id,cnt,gx,gy,gz,ax,ay,az,pls
0,0,86,-496,598,-58,-5,15999,0
0,1,-50,232,172,-41,28,16027,0
0,2,-182,-794,288,-30,11,16007,0
0,3,-218,116,-256,-64,10,15993,0
0,4,-196,152,-302,-45,-9,15992,0
0,5,6,428,-198,-52,15,16012,0
0,6,-152,-276,-348,-67,27,16035,0
0,7,42,118,254,-38,-7,16074,0
0,8,6,106,160,-67,-4,15976,0
0,9,54,-100,278,-103,1,16059,0
0,10,156,350,12,-60,-10,16065,0
0,11,-60,-206,344,-60,25,16048,0
0,12,-152,164,-360,-56,17,16041,0
0,13,-72,382,-220,-60,33,16081,0
0,14,140,-346,610,-77,16,16036,0
0,15,-174,-160,-186,-58,-9,16050,0
0,16,252,-10,68,-61,36,15991,0
0,17,-318,-136,358,-66,26,15943,0
0,18,-296,-194,70,-64,-4,16054,0
0,19,-84,-460,-474,-47,9,16100,0
0,20,130,-34,194,-64,38,16079,0
0,21,128,-160,-348,-80,2,15983,0
0,22,32,-182,-518,-37,33,16064,0
0,23,-60,36,-636,-89,-12,16042,0
0,24,32,280,588,-76,10,16020,0
0,25,96,-80,-82,-37,30,16041,0
0,26,98,-608,-554,-79,-6,16022,0
0,27,154,-126,-174,-59,7,16039,0
0,28,-116,-298,128,-41,22,16029,0
0,29,-28,-438,-532,-116,17,16071,0
0,30,-4,-472,-324,-37,8,16057,0
0,31,-94,-506,-198,-75,10,16037,0
0,32,-140,-414,-118,-62,-3,16074,0
0,33,-60,-242,-128,-47,38,16028,0
0,34,-220,268,-474,-41,7,16128,0
0,35,-72,-646,472,-54,15,16031,0
0,36,86,-218,-290,-95,12,16120,0
0,37,96,-600,22,-69,41,16056,0
0,38,110,108,566,-33,-9,16048,0
0,39,-286,-92,-152,-67,44,16038,0
0,40,-128,-380,-370,-57,21,16023,0
0,41,-276,-450,-302,-64,35,16035,0
0,42,-152,-518,102,-74,6,16070,0
0,43,344,-114,240,-54,14,16034,0
0,44,-38,-426,194,-56,30,16021,0
0,45,86,-218,-2,-40,-5,16080,0
0,46,-14,38,-312,-55,15,16075,0
0,47,-48,-194,-116,-70,6,16091,0
0,48,-82,-354,-334,-47,-6,16043,0
0,49,-50,-184,68,-89,9,16056,0
0,50,336,-66,-46,-69,26,16030,0
0,51,-28,-402,-36,-51,17,16041,0
0,52,-74,24,90,-50,7,16025,0
0,53,-172,-146,-242,-48,7,16023,0
0,54,-244,94,-982,-50,6,16077,0
0,55,86,-206,-324,-39,25,16067,0
0,56,-16,-160,414,-69,8,16070,0
0,57,-28,-346,-808,-55,28,15997,0
0,58,-84,-126,102,-36,21,16044,0
0,59,-72,-218,228,-68,9,16063,0
0,60,42,-586,-172,-88,16,15994,0
0,61,-264,-1004,-164,-66,-11,16013,0
0,62,88,188,-322,-52,34,16012,0
0,63,8,-806,-150,-46,16,16064,0
0,64,86,-92,-278,-84,30,16065,0
0,65,-250,-194,300,-75,3,16051,0
0,66,130,48,-152,-57,-14,16039,0
0,67,76,-216,-138,-66,19,15999,0
0,68,-106,-252,-440,-39,3,16090,0
0,69,-130,106,-348,-66,29,16053,0
0,70,142,12,228,-49,13,16051,0
0,71,-444,-346,-370,-77,34,16060,0
0,72,-128,-506,-244,-62,29,16020,0
0,73,152,360,136,-83,13,16005,0
0,74,108,-172,-94,-63,18,16069,0
0,75,30,-196,-706,-40,21,16031,0
0,76,86,128,-24,-84,7,16045,0
0,77,244,-288,78,-43,15,16037,0
0,78,-126,-298,-334,-73,18,16082,0
0,79,120,-554,102,-66,29,16102,0
0,80,-366,116,402,-65,34,16060,0
0,81,-16,-380,22,-74,8,16046,0
0,82,-590,-796,-566,-53,-9,16106,0
0,83,-28,-264,182,-59,27,16044,0
0,84,-330,-332,-358,-61,47,16098,0
0,85,-26,-158,-634,-74,31,16023,0
0,86,-70,-400,-276,-14,22,16053,0
0,87,-206,-274,24,-42,2,16040,0
0,88,-4,164,-290,-71,1,16074,0
0,89,-50,-1004,182,-33,17,15992,0
0,90,-162,-92,32,-70,33,16015,0
0,91,30,-346,-462,-99,28,16083,0
0,92,-152,-726,-302,-92,-5,16061,0
0,93,122,38,-312,-43,30,15984,0
0,94,64,-980,68,-116,16,16029,0
0,95,76,166,-46,-34,21,16062,0
0,96,96,-310,-140,-52,39,16029,0
0,97,-152,116,-36,-60,34,16012,0
0,98,86,-80,-566,-82,26,16036,0
0,99,-194,-436,-496,-82,17,16033,0
0,100,76,166,346,-82,46,16059,0
0,101,-38,-762,310,-67,5,16062,0
0,102,-42,704,-140,-70,38,16055,0
0,103,130,-576,-118,-61,31,16040,0
