id,cnt,gx,gy,gz,ax,ay,az,pls
0,0,-370,998,98,-1005,1935,16450,0
0,1,-506,988,-1354,201,444,16954,0
0,2,-686,4,-1908,1039,-588,16275,0
0,3,568,1184,-1794,-1641,1367,16510,0
0,4,-30,768,-570,-3124,4622,15545,0
0,5,264,40,-686,-2061,3467,15027,0
0,6,454,-270,-1390,-1523,2216,15372,0
0,7,624,688,-640,-2435,1382,16027,0
0,8,760,-4,-744,-2478,535,16569,0
0,9,308,-906,-1470,-1814,325,16074,0
0,10,-168,-596,-1240,-1368,481,15195,0
0,11,386,-642,-756,-1053,347,14964,0
0,12,-244,-768,-1252,-1407,409,15444,0
0,13,-494,-180,-882,-1415,670,15870,0
0,14,-728,-456,178,-2237,647,15696,0
0,15,-1090,608,-18,-2333,120,15832,0
0,16,-1258,-316,698,-1876,200,15989,0
0,17,-1056,-86,1066,-2473,1572,16054,0
0,18,-1236,156,952,-2181,2179,15459,0
0,19,-638,-908,1102,-1272,2934,15559,0
0,20,-346,-976,1032,-1256,3073,16421,0
0,21,-560,-848,836,-1940,3157,16993,0
0,22,-470,-676,190,-1701,3525,17119,0
0,23,-312,-872,-64,-1472,3829,16558,0
0,24,-178,-76,-812,-1854,3611,16163,0
0,25,-168,-204,-260,-2165,3705,15584,0
0,26,-52,-308,-110,-2046,4223,15322,0
0,27,-64,-790,28,-1912,4318,15774,0
0,28,-356,98,-374,-2131,4264,16505,0
0,29,-190,-896,-352,-1908,3744,16587,0
0,30,-684,-146,-756,-1945,3217,16150,0
0,31,-300,-550,-410,-2051,2710,15982,0
0,32,-346,-526,-986,-1530,2289,16145,0
0,33,204,-780,-1066,-1617,2039,16748,0
0,34,106,560,-352,-2211,2082,17385,0
0,35,-30,204,-364,-1690,2422,16701,0
0,36,-166,-362,-616,-1255,2008,15144,0
0,37,252,-62,86,-1524,1429,14501,0
0,38,160,-30,-536,-2807,1551,14652,0
0,39,174,-654,-514,-1171,1496,15281,0
0,40,568,-732,-260,-283,1010,16613,0
0,41,276,700,-96,-1652,1289,18190,0
0,42,342,-456,-98,-2344,2358,17609,0
0,43,-230,-16,274,-1810,2340,16254,0
0,44,-176,-920,560,-1774,1948,15417,0
0,45,-142,-1300,444,-2291,2474,15765,0
0,46,-526,-1728,444,-1018,2766,15887,0
0,47,658,-688,-328,-77,2099,16653,0
0,48,-8,-860,236,-2992,3098,17390,0
0,49,50,-758,674,-2180,3176,16442,0
0,50,-258,-562,-190,-1260,3114,15366,0
0,51,-134,-1174,248,-1553,2982,15112,0
0,52,-414,-154,468,-1595,3400,15013,0
0,53,-336,-400,-236,-703,3560,15359,0
0,54,94,-710,-560,-797,3363,16681,0
0,55,310,-466,446,-2491,3277,17069,0
0,56,140,-18,-6,-1856,3594,15708,0
0,57,92,-434,260,-665,2859,14692,0
0,58,204,-284,860,-1448,2590,14666,0
0,59,320,-492,456,-2075,2122,14846,0
0,60,378,-1506,-130,-1267,1715,14469,0
0,61,284,-734,420,-898,1450,15078,0
0,62,-132,-74,-490,-1473,1531,15404,0
0,63,-18,-272,-168,-1071,1606,15122,0
0,64,-446,374,-582,-348,1516,14910,0
0,65,-278,-122,-248,-888,1495,14962,0
0,66,-472,-850,-444,-1550,1445,14974,0
0,67,162,-88,-18,-866,1495,15290,0
0,68,284,-954,-652,-443,1749,16115,0
0,69,140,-896,-328,-566,1980,16498,0
0,70,2,-1566,-52,-729,2388,16083,0
0,71,-108,-1220,-824,-828,2603,15380,0
0,72,-42,-1150,-248,-812,2350,15304,0
0,73,-42,-792,514,-1030,2509,15620,0
0,74,48,-1312,18,-289,2413,16153,0
