cnt,gx,gy,gz,ax,ay,az
3683,392,1220,-534,465,725,16602
3684,538,226,134,441,692,16482
3685,1248,608,-372,465,714,16269
3686,1936,-98,-454,414,866,16100
3687,1992,18,284,392,985,15985
3688,1712,806,-408,233,1151,15713
3689,1698,422,-1064,82,1146,15477
3690,1360,366,-96,35,980,15403
3691,1418,1440,-558,167,732,15186
3692,1598,712,-418,277,703,14967
3693,1542,1094,-650,175,957,14756
3694,966,598,170,-63,1289,14724
3695,154,584,422,-112,1398,14864
3696,8,-178,158,-96,1359,15092
3697,-444,1116,-418,122,1077,15482
3698,-398,366,330,271,982,15626
3699,-646,538,792,335,1061,15798
3700,-420,1116,666,361,1412,15947
3701,-410,966,-62,302,1765,16134
3702,-838,1000,712,252,1920,16303
3703,-938,402,-26,357,1767,16574
3704,-722,1106,-200,514,1616,16689
3705,-748,630,-1030,368,1537,16671
3706,-780,852,-662,225,1408,16617
3707,-328,1200,-1156,75,1215,16688
3708,98,400,-892,-58,1045,16590
3709,808,1024,-1202,-210,826,16602
3710,1462,-420,-868,-290,780,16393
3711,1800,862,-950,-464,864,16095
3712,2286,1174,-996,-690,1096,15734
3713,2138,562,-1250,-827,1276,15320
3714,1710,458,-776,-938,1341,15094
3715,898,6,-592,-1042,1303,14891
3716,468,110,-372,-1079,1161,14927
3717,640,-4,-1156,-1111,915,15002
3718,706,-664,20,-1122,880,15011
3719,1170,-536,-212,-1070,920,14989
3720,1046,-1230,550,-920,1031,14875
3721,1068,-1332,-4,-855,1148,14802
3722,1248,-1322,642,-630,1327,14776
3723,1054,-478,630,-474,1411,14800
3724,514,-1264,942,-336,1491,14713
3725,358,-778,-142,-291,1631,14728
3726,-14,-1010,216,-362,1824,14804
3727,-386,-686,320,-392,1814,15095
3728,-408,-1146,-362,-386,1673,15293
3729,144,-120,-1088,-336,1466,15405
3730,232,-848,262,-275,1410,15359
3731,594,390,250,-240,1476,15261
3732,414,-790,562,-188,1557,15225
3733,18,250,-4,-112,1670,15098
3734,-566,-108,884,-37,1746,15087
3735,-940,18,1080,-48,1845,15220
3736,-1164,-212,630,73,1862,15331
3737,-972,-708,112,126,1893,15580
3738,-848,-86,204,161,1886,15761
3739,-1166,42,1242,194,1871,15994
3740,-1334,-1066,296,144,1722,16159
3741,-1342,-580,-4,249,1453,16291
3742,-770,76,-176,316,1232,16398
3743,-758,-502,-188,354,1109,16373
3744,-344,-224,146,354,1264,16329
3745,-758,262,-130,392,1533,16314
3746,-626,850,642,386,1688,16385
3747,-758,620,238,420,1696,16518
3748,-1086,204,-708,393,1484,16415
3749,-940,596,-626,350,1303,16309
3750,-782,64,54,269,1196,16301
3751,-192,274,-338,201,1203,16433
3752,-310,-478,-512,122,1246,16660
3753,-106,180,-696,161,1204,16774
3754,-240,88,226,189,1082,16870
3755,382,148,-684,186,927,16838
3756,660,-202,-50,196,866,16630
3757,504,850,-454,98,978,16540
3758,346,862,-454,67,1025,16427
3759,402,1186,-800,110,983,16434
3760,-4,714,-72,232,974,16475
3761,-240,1590,746,497,957,16515
3762,-262,2446,320,475,1194,16553
3763,-826,1798,88,407,1407,16631
3764,-1356,2560,422,365,1593,16779
3765,-1910,3058,942,234,1639,17165
3766,-2360,3012,112,63,1570,17545
3767,-2190,1650,-176,40,1215,17852
3768,-1254,2086,-604,20,905,18209
3769,-1176,1312,250,14,730,18258
3770,-296,1348,262,-62,636,18335
3771,210,828,-84,-225,567,18008
3772,1586,1220,-4,-562,493,17508
3773,2004,1590,204,-1004,647,16670
3774,2872,1012,342,-1472,963,15816
3775,2826,-98,804,-1638,1284,15181
3776,2848,-294,712,-1644,1752,15077
3777,2510,-1126,1138,-1269,2088,15299
3778,1924,-1276,1092,-589,2298,15644
3779,424,296,1034,-262,2981,16220
3780,-724,1128,-372,-770,3279,16827
3781,-2956,2248,-280,-276,3529,17152
3782,-5538,4108,-1180,-81,2724,17674
3783,-6982,4536,-1906,-241,1780,18166
3784,-5730,5554,-1538,-889,659,18391
3785,-3702,5958,-1698,-1167,790,18447
3786,-2416,6870,-1088,-1281,1257,18591
3787,-2630,7552,-1456,-1431,1297,18497
3788,-2708,8188,-1352,-1490,1142,18081
3789,-3476,8442,-810,-1592,747,17272
3790,-3622,7518,-246,-1889,-366,16354
3791,-1412,5796,412,-2452,-749,15676
3792,1316,4606,274,-2945,239,15213
3793,2522,2826,1138,-2880,1328,15272
3794,1800,1462,550,-2579,1622,15750
3795,492,712,872,-2695,1367,15893
3796,898,-1380,1564,-3390,817,15874
3797,3334,-2500,226,-4205,480,15301
3798,5870,-4084,8,-4236,507,14638
3799,7460,-5782,618,-3130,719,14405
3800,5510,-6914,1196,-2115,1092,14779
3801,2444,-7076,596,-1717,1573,15350
3802,132,-5944,-26,-1780,1837,16045
3803,-1154,-5308,-580,-2667,1672,16426
3804,-38,-5862,-534,-3266,1205,16166
3805,1880,-5608,-1480,-3508,938,16081
3806,2512,-5908,-938,-2961,609,16416
3807,1742,-4858,-592,-1934,112,16966
3808,-658,-3724,1184,-1071,-263,17541
3809,-1548,-1518,884,-1165,-536,17621
3810,-1480,-224,792,-1762,-584,17271
3811,470,1510,1034,-2310,-115,16613
3812,1946,1856,1576,-2119,258,15875
3813,1598,2550,1830,-1430,353,15500
3814,200,3276,2476,-943,544,15291
3815,-578,4722,2832,-1014,980,14891
3816,-194,4478,2926,-1334,1636,14274
3817,842,4270,2290,-1713,2277,13665
3818,1980,2584,1530,-1742,2655,13208
3819,1710,1370,1830,-1316,2630,13007
3820,932,88,700,-936,2414,13062
3821,-70,-582,712,-732,2232,13300
3822,-1108,-686,1218,-960,2199,13351
3823,-1176,-1194,-96,-1576,2393,13523
3824,-544,-1356,-212,-2069,2355,13516
3825,-48,-2524,-338,-1925,1921,13717
3826,-252,-2166,-822,-1446,1444,14102
3827,-600,-2800,-222,-1115,1412,14725
3828,-646,-3310,-1260,-1403,1892,15204
3829,-58,-2036,-430,-1958,2499,15248
3830,526,-1354,-1030,-2379,2797,14999
3831,268,-836,-1676,-2033,2434,14791
3832,-252,-814,-1894,-1251,1856,14850
3833,-1254,-154,-2034,-882,1377,14827
3834,-2212,-4,-1042,-1241,1326,15065
