id,cnt,gx,gy,gz,ax,ay,az,pls
0,2080,-362,14,-772,-242,-305,15946,0
0,2081,-328,-286,-138,52,-277,16174,0
0,2082,-192,-354,-242,-154,-220,15783,0
0,2083,212,222,-450,-153,-142,16052,0
0,2084,-160,-1128,138,2,-122,15896,0
0,2085,0,84,438,-292,-199,16033,0
0,2086,302,-42,0,-3,-215,16030,0
0,2087,-192,-920,-46,-134,-339,16100,0
0,2088,-172,-770,-116,-217,-437,15982,0
0,2089,-34,-170,128,-90,-238,16008,0
0,2090,222,-136,-300,-136,17,15981,0
0,2091,-92,-874,346,-199,104,15953,0
0,2092,66,-504,312,-182,-116,16019,0
0,2093,44,-20,-692,-209,-234,16118,0
0,2094,-158,-412,70,-95,-175,16125,0
0,2095,8,-458,324,-50,-194,16022,0
0,2096,-406,-158,-300,-179,-190,15973,0
0,2097,44,26,-264,-129,-108,16011,0
0,2098,-238,222,-368,-140,-102,16040,0
0,2099,-318,-320,58,-166,-330,16058,0
0,2100,-68,-78,-1026,-155,-479,16069,0
0,2101,-92,-470,92,-37,-432,15969,0
0,2102,78,-20,334,-130,-214,15979,0
0,2103,-282,-436,-126,-140,-70,16015,0
0,2104,-90,188,-254,-143,-36,16083,0
0,2105,-26,292,416,-70,-16,16079,0
0,2106,-158,-528,-58,-68,-176,15986,0
0,2107,-46,-366,-496,-86,-267,15994,0
0,2108,-148,270,-334,-50,-433,15985,0
0,2109,166,-240,254,-176,-394,15943,0
0,2110,68,246,-368,-185,-153,16048,0
0,2111,-70,200,34,-213,64,16098,0
0,2112,-182,130,416,-176,-103,16017,0
0,2113,0,-204,138,-64,-224,16050,0
0,2114,-124,-32,-714,-24,-308,15929,0
0,2115,-194,-298,-542,-222,-299,16003,0
0,2116,-24,-598,0,-198,-223,16088,0
0,2117,20,246,358,-210,-284,16029,0
0,2118,-150,362,-12,-75,-349,16169,0
0,2119,-250,166,426,-141,-263,15905,0
0,2120,-126,-436,-34,-217,59,16072,0
0,2121,-26,-656,-806,310,221,16094,0
0,2122,0,246,-658,-301,187,15979,0
0,2123,1770,-2204,-934,-4006,1686,14789,0
0,2124,-3756,696,-1568,-1804,10061,19099,0
0,2125,-330,-956,-368,1465,8581,14453,0
0,2126,178,166,1856,2421,6690,16206,0
0,2127,-1592,1518,-542,948,8231,16345,0
0,2128,280,292,-22,-588,5616,15221,0
0,2129,-12,662,80,1112,4050,16641,0
0,2130,-294,1714,80,3579,3540,15508,0
0,2131,200,1344,-68,2178,1588,16306,0
0,2132,-350,-1592,808,-3124,816,15627,0
0,2133,496,222,-68,-1036,-1226,16190,0
0,2134,20,1414,-58,1418,-1403,16411,0
0,2135,-24,-1418,-58,-1366,-517,15280,0
0,2136,638,-1038,22,-1232,-1667,16386,0
0,2137,1262,176,-426,-69,-1567,16360,0
0,2138,640,-644,-380,-805,-508,16078,0
0,2139,-4262,-1788,-334,-1731,1976,15878,0
0,2140,66,-32,138,-1504,-430,16017,0
0,2141,448,1424,116,931,-996,15244,0
0,2142,-26,1262,-934,2217,-1100,16928,0
0,2143,-24,72,-692,935,-944,15101,0
0,2144,-778,-1488,-254,-2512,156,16029,0
0,2145,-350,-1742,-218,-2659,213,16076,0
0,2146,42,-136,-508,-300,-694,15366,0
0,2147,4100,-412,1062,69,-6908,17676,0
0,2148,3978,2026,-392,2848,-952,14223,0
0,2149,292,96,-876,1603,1641,17480,0
0,2150,-12,1540,150,1772,615,15295,0
0,2151,132,732,-92,40,-1205,16334,0
0,2152,994,294,-542,705,-1807,16226,0
0,2153,-926,-228,-460,-794,1335,14938,0
0,2154,-338,-146,-162,-543,-1311,16762,0
