id,cnt,gx,gy,gz,ax,ay,az,pls
0,1560,-16,-622,-856,129,9562,13337,144
0,1561,244,-380,286,-2,9483,13365,144
0,1562,-150,212,-322,-74,9400,13107,144
0,1563,-456,-900,160,-69,9335,13102,144
0,1564,-288,-276,286,115,9112,13047,144
0,1565,-264,-92,-394,55,8995,13151,144
0,1566,-344,-554,-820,-141,9394,13376,144
0,1567,-40,-762,-266,-72,9439,13346,144
0,1568,-252,-44,620,31,9291,13366,144
0,1569,-140,60,310,-14,9121,13113,144
0,1570,-142,-610,-936,73,9018,13060,144
0,1571,130,418,44,-195,9384,13152,144
0,1572,-82,-910,358,-193,9451,13281,144
0,1573,-96,-252,552,113,9341,13283,144
0,1574,-40,-1166,298,207,9139,13300,144
0,1575,50,-334,-24,40,9126,13333,144
0,1576,28,-610,564,140,9275,13372,144
0,1577,164,82,-186,310,9101,13192,144
0,1578,-106,684,-2,291,9061,12891,144
0,1579,852,2740,-14,540,9152,12682,144
0,1580,492,1354,-336,-581,9431,13060,144
0,1581,-310,740,-1258,-1001,9372,13110,144
0,1582,-996,186,816,-366,9501,12929,144
0,1583,-818,452,1198,-341,9359,13034,144
0,1584,-626,360,678,-301,9105,12878,144
0,1585,-1190,-44,574,-84,9154,12701,144
0,1586,-1030,1468,310,-131,9188,12399,144
0,1587,-1188,2012,528,-64,9086,12176,144
0,1588,-1574,4994,668,-129,9129,11851,144
0,1589,-1832,5362,-232,-147,9012,11753,144
0,1590,-2792,7732,966,-176,8983,11588,144
0,1591,-2510,8274,78,-684,8449,11624,144
0,1592,-2710,10748,-660,-831,8364,11526,144
0,1593,-2598,11556,-832,-1329,8641,11527,144
0,1594,-3670,10828,-210,-2265,9620,11946,144
0,1595,-5700,7304,1014,-2801,9523,13157,144
0,1596,-8222,5050,1312,-2084,9334,13883,144
0,1597,-8912,1978,1716,-1777,8458,14876,144
0,1598,-8346,-368,1948,-3084,7719,15302,144
0,1599,-6724,-472,2144,-2545,7575,15096,144
0,1600,-6148,-692,1958,-2205,7349,14638,144
0,1601,-5912,-1546,1382,-2228,7208,14009,144
0,1602,-6884,-1246,874,-1374,7255,13392,144
0,1603,-7064,-160,1002,-1359,7148,13427,144
0,1604,-7332,1608,22,-1409,6965,13589,144
0,1605,-6802,2474,402,-1182,6728,14022,144
0,1606,-6748,2370,724,-1612,6931,14769,144
0,1607,-7650,2452,494,-2147,7454,15280,144
0,1608,-9206,1608,1982,-2032,7155,15552,144
0,1609,-9530,-888,2144,-1958,5996,15600,144
0,1610,-7040,-5128,1232,-1642,5471,15758,144
0,1611,-7874,-5892,1290,-1555,5699,15295,144
0,1612,-6758,-6158,840,-1243,5490,15025,144
0,1613,-5936,-2980,1694,-371,5068,15395,144
0,1614,-4042,-92,148,-657,4055,15584,144
0,1615,-2500,738,-278,-448,4167,16033,144
0,1616,-2722,1862,-266,-889,5420,15841,144
0,1617,-3264,1828,344,-1173,5733,16048,144
0,1618,-2812,1260,956,-1227,5430,16706,144
0,1619,-2498,220,78,-951,5083,17023,144
0,1620,-1428,-980,160,-706,4624,16719,144
0,1621,-1078,-1130,-70,-775,4359,15819,144
0,1622,-932,-1096,-1052,-713,4438,15170,144
0,1623,-1830,-876,-498,-554,4743,14913,144
0,1624,-2588,-1536,-936,-745,5219,15069,144
0,1625,-3398,-2020,-936,-1353,5209,15323,144
0,1626,-3850,-2518,-1938,-1139,4841,15652,144
0,1627,-2766,-3038,-1686,-1285,4247,15717,144
0,1628,-1730,-2852,-370,-1648,3856,15644,144
0,1629,-412,-1154,-416,-1259,4099,15547,144
0,1630,-400,372,-1640,-747,4426,15246,144
0,1631,-1662,278,-1340,-818,5079,15921,144
0,1632,-2476,-1142,-556,-1067,4693,16430,144
0,1633,-1552,-2482,-1282,-671,4220,16767,144
0,1634,-52,-3304,-1536,-722,3869,16674,144
0,1635,760,-3350,-2192,-953,3591,16436,144
0,1636,580,-2368,-1904,-1011,4186,16106,144
0,1637,288,-2702,-1732,-812,3975,15764,144
0,1638,388,-2830,-1224,-524,4023,15644,144
0,1639,432,-3374,-1432,-262,4383,15586,144
0,1640,808,-3258,-2574,-552,4576,15274,144
0,1641,400,-2482,-2354,-217,4361,15370,144
0,1642,2182,-958,-2066,561,3396,16383,144
0,1643,2234,-1330,-2228,-703,3898,15471,144
0,1644,1380,-2032,-2388,-1313,4300,14942,144
0,1645,-434,-2414,-1892,-625,4728,14429,144
0,1646,320,-622,-1536,-332,4742,14865,144
0,1647,-514,-946,-936,-216,5185,15039,144
0,1648,30,-1490,-1454,-617,4655,15283,144
0,1649,-650,-2160,-1074,-229,4317,14990,144
0,1650,-772,-1916,-670,7,4141,14689,144
0,1651,-570,82,-1120,252,4032,14902,144
0,1652,-342,382,-2446,-152,4225,15423,144
0,1653,118,788,-2112,-175,4372,15668,144
0,1654,400,532,-1800,-280,4208,15495,144
0,1655,716,428,-2308,-438,4038,15356,144
0,1656,332,926,-2688,-46,4367,15462,144
0,1657,-142,834,-2538,-727,4737,15796,144
0,1658,-332,-1142,-1098,-1006,4665,15907,144
0,1659,-808,-1582,-1282,-812,4627,15657,144
