id,cnt,gx,gy,gz,ax,ay,az,pls
0,0,-594,-2086,4094,-2643,2199,15911,0
0,1,-404,-1188,3078,-2810,2577,16021,0
0,2,-482,-920,2652,-2536,2529,15962,0
0,3,-730,-480,1626,-2556,2302,16145,0
0,4,-494,-598,1050,-2462,1672,16350,0
0,5,296,-666,830,-2530,1484,16725,0
0,6,262,28,2018,-2250,1687,16890,0
0,7,1018,-158,2330,-2297,2154,16951,0
0,8,632,-114,1004,-2405,2651,16841,0
0,9,94,282,704,-2523,3114,16673,0
0,10,462,534,414,-2585,3291,16530,0
0,11,306,176,-150,-2470,3500,16623,0
0,12,-222,-18,-1222,-2352,3592,16737,0
0,13,34,372,-1038,-2427,3316,16889,0
0,14,-338,396,-1176,-2335,3047,17258,0
0,15,-976,732,-2006,-2403,2978,17316,0
0,16,-1204,1032,-2930,-2523,2629,17448,0
0,17,-1452,638,-2526,-2587,2244,17659,0
0,18,-1340,536,-1672,-2659,2023,17758,0
0,19,-836,418,-1502,-2664,1792,17671,0
0,20,-112,60,-1752,-2382,1511,17605,0
0,21,778,-286,-634,-2541,1699,17586,0
0,22,1444,94,-542,-2559,1958,17705,0
0,23,1266,-562,-1130,-2516,2380,17766,0
0,24,938,754,-1938,-2435,2565,17937,0
0,25,330,652,-1902,-2406,2453,18107,0
0,26,-248,1134,-1800,-2191,2408,18050,0
0,27,-472,1540,-1948,-2137,2268,17853,0
0,28,-414,1726,-1856,-2325,2282,17701,0
0,29,-586,592,-2330,-2626,2259,17542,0
0,30,-752,1344,-2630,-2589,1775,17105,0
0,31,422,918,-2976,-2815,988,17002,0
0,32,1860,314,-2272,-3134,1,17166,0
0,33,3340,534,-1752,-3153,-765,17001,0
0,34,4938,1008,-912,-3104,-784,16591,0
0,35,4422,2142,588,-3166,-165,16056,0
0,36,3474,1668,-404,-3276,749,15593,0
0,37,2098,2314,-1038,-3360,1266,14823,0
0,38,914,2694,-646,-3328,1263,14213,0
0,39,586,1978,-704,-3383,555,13805,0
0,40,464,1030,-1592,-3677,27,13759,0
0,41,924,-90,-2652,-3933,-434,13909,0
0,42,1488,-1338,-2284,-3821,-877,14113,0
