id,cnt,gx,gy,gz,ax,ay,az,pls
0,0,1560,-1224,-486,-1361,1678,15987,0
0,1,1618,-668,90,-1250,1907,16085,0
0,2,1450,-368,-416,-1395,2170,16184,0
0,3,1054,36,-820,-1663,2198,16470,0
0,4,1290,-414,-924,-2047,1850,16692,0
0,5,1086,256,-670,-2485,1418,16821,0
0,6,1696,-1050,-1398,-2721,1256,16844,0
0,7,1932,-922,-1004,-2488,1398,16763,0
0,8,2408,-114,-416,-2513,1690,16579,0
0,9,2230,-1140,-668,-2327,1954,16479,0
0,10,1348,-888,-520,-2144,2058,16349,0
0,11,740,-1420,-1016,-1930,2024,16384,0
0,12,234,-1452,-658,-1744,2002,16501,0
0,13,-354,-1466,-740,-1470,1877,16575,0
0,14,-1450,-1986,-1974,-1219,1710,16609,0
0,15,-1494,-310,-498,-1143,1408,16962,0
0,16,-2216,-218,-532,-1862,1059,17225,0
0,17,-2834,-958,-1628,-2538,145,17512,0
0,18,-2688,-842,-1536,-2645,-887,17537,0
0,19,-1706,-1766,-1778,-2460,-1643,17150,0
0,20,-614,-1848,-2020,-1751,-1601,16473,0
0,21,218,-1962,-2066,-1425,-662,15991,0
0,22,-604,-1454,-1858,-1317,569,15875,0
0,23,-2014,-2436,-1928,-1376,207,15998,0
0,24,-1898,-2010,-1892,-1649,-1158,16002,0
0,25,-1370,-2690,-2124,-1652,-2090,15876,0
0,26,-356,-3396,-2088,-922,-2582,15495,0
0,27,422,-4366,-1812,-478,-2508,14952,0
0,28,1222,-4620,-1732,-187,-2010,14542,0
0,29,1608,-3858,-578,283,-1265,14203,0
0,30,808,-2968,264,841,-530,14290,0
0,31,-174,-2356,136,974,-291,14371,0
0,32,-794,-1050,966,1536,-609,14710,0
0,33,-1776,764,1382,1227,-906,15189,0
0,34,-2070,1296,1140,873,-1229,15597,0
0,35,-2722,2486,806,518,-1826,16109,0
0,36,-2248,3282,990,-334,-2765,16327,0
0,37,-964,3548,1486,-1290,-3327,16720,0
0,38,312,3190,2292,-2085,-3531,16991,0
0,39,1234,2486,2592,-2767,-3455,16692,0
0,40,1720,718,3030,-2840,-2545,16255,0
0,41,1156,-842,2858,-2676,-1122,15576,0
0,42,28,-1882,2500,-2195,-443,15021,0
0,43,-570,-2090,2696,-1448,-486,14613,0
0,44,-624,-1536,4150,-757,-752,14443,0
0,45,-760,-668,3942,-383,-1067,14452,0
0,46,30,706,4692,-375,-1312,14634,0
0,47,468,1804,5302,-771,-1101,14814,0
0,48,210,1816,4600,-1411,-733,15015,0
0,49,-410,834,4022,-1713,-449,15268,0
0,50,-638,544,3862,-1894,-385,15615,0
0,51,-492,602,3908,-1977,-326,15715,0
0,52,-408,-366,3378,-1905,-374,15715,0
0,53,-52,-796,4368,-1632,-389,15643,0
0,54,96,-206,4842,-1329,-214,15574,0
0,55,686,1078,4602,-1261,-78,15572,0
0,56,986,232,4610,-1426,-320,15762,0
0,57,1190,-264,4230,-1569,-279,16066,0
0,58,1280,-1258,5096,-1060,15,16281,0
0,59,896,-402,4380,-999,361,16377,0
0,60,1078,-830,5014,-861,150,16343,0
0,61,762,210,5834,-939,156,16307,0
0,62,704,302,4968,-934,210,16291,0
0,63,400,232,5188,-838,250,16405,0
0,64,38,868,5406,-683,320,16610,0
0,65,-278,1180,5556,-868,302,16625,0
0,66,-670,1468,4842,-975,477,16561,0
0,67,-1090,1236,5764,-1200,477,16471,0
0,68,-1346,1100,5786,-1276,137,16356,0
0,69,-1190,1238,5902,-1481,-347,16391,0
0,70,-1110,1226,5442,-1890,-642,16534,0
0,71,-838,1468,5844,-2033,-128,16475,0
0,72,-1684,752,6248,-1886,605,16306,0
0,73,-2744,1168,7010,-1772,392,16241,0
0,74,-3442,972,7412,-2093,49,16507,0
0,75,-4164,544,8232,-2282,-714,17084,0
0,76,-4278,718,7852,-2621,-1611,17400,0
0,77,-4288,348,7148,-2821,-2331,17888,0
0,78,-3580,60,7540,-3233,-3259,18147,0
0,79,-2146,-506,7736,-3378,-4071,17927,0
0,80,-390,-426,7170,-3372,-4475,17402,0
0,81,558,-1894,6998,-3190,-4078,16584,0
0,82,1180,-818,7758,-2935,-3122,15794,0
0,83,784,-576,7240,-2766,-2495,15184,0
0,84,410,-542,7148,-2698,-2197,14788,0
0,85,-342,314,7136,-2819,-2044,14625,0
0,86,-884,1006,7852,-2973,-2119,14754,0
0,87,-692,1792,8232,-3382,-2374,14892,0
0,88,-616,996,8658,-3732,-2446,15112,0
0,89,-128,1562,9316,-4004,-2216,15023,0
0,90,412,1550,9500,-4121,-1625,14818,0
0,91,-404,-440,8774,-4017,-1146,14608,0
0,92,-942,-92,9270,-3891,-880,14403,0
0,93,-930,-1628,9546,-3452,-925,14422,0
0,94,-1114,-1388,9084,-2727,-1161,14319,0
0,95,-738,-1998,9028,-1986,-1137,14257,0
0,96,-60,-380,9316,-1470,-836,14150,0
0,97,96,-148,8450,-1312,-310,14135,0
0,98,-220,730,7528,-1494,330,14200,0
0,99,-310,972,8542,-1877,703,14425,0
0,100,-1146,152,8462,-2255,837,14696,0
0,101,-1450,36,8912,-2492,562,15058,0
0,102,-1628,-922,8878,-2668,-62,15508,0
0,103,-1066,-680,9246,-2545,-189,15708,0
0,104,-1178,-1212,8416,-2209,-277,15899,0
0,105,-898,-1662,7702,-2002,-386,15924,0
0,106,-626,-1304,7090,-1764,-568,15919,0
0,107,378,-1812,6894,-1525,-587,15729,0
0,108,512,-1478,6974,-1589,-427,15658,0
0,109,1550,-2274,6906,-1475,6,15328,0
0,110,1482,-2622,7090,-1288,631,15123,0
0,111,898,-3084,6422,-963,1060,15013,0
0,112,650,-2946,5384,-563,1143,15038,0
0,113,534,-2934,5164,-146,1044,15132,0
0,114,898,-2378,4496,-40,938,15332,0
0,115,1224,-1350,3872,-270,688,15653,0
0,116,1482,-1916,3884,-437,828,15806,0
0,117,1414,-1928,3712,-644,1007,16000,0
0,118,1336,-2114,2812,-793,1252,15988,0
0,119,704,-2748,2166,-761,1600,16063,0
0,120,524,-2668,1948,-594,1675,16362,0
0,121,582,-2356,1808,-659,1370,16875,0
0,122,942,-1698,956,-918,973,17420,0
0,123,896,-1490,1612,-1058,1056,17625,0
0,124,354,-2056,1566,-790,1417,17830,0
0,125,-478,-1304,910,-610,1745,18097,0
0,126,-1888,-1050,552,-485,1807,18652,0
0,127,-3040,-252,136,-869,963,19450,0
0,128,-2992,-866,620,-1334,-533,19902,0
0,129,-2636,-440,540,-1798,-1920,20085,0
0,130,-1154,-1224,172,-1968,-2604,19851,0
0,131,86,-1698,114,-1957,-2630,19190,0
0,132,930,-2160,-706,-1881,-2297,18368,0
0,133,1368,-3154,-1594,-1715,-2125,17365,0
0,134,2758,-2148,-1166,-1349,-1899,16451,0
0,135,3600,-4112,-1236,-1197,-1639,15700,0
0,136,3526,-3428,-1580,-740,-983,14943,0
0,137,2778,-4136,-1454,-189,-527,14352,0
0,138,2608,-2818,-936,405,-293,14052,0
0,139,1348,-1870,-1408,753,-242,14056,0
0,140,558,-1212,-1212,690,-739,14307,0
0,141,276,740,-1258,21,-1872,14901,0
0,142,-60,1238,-174,-806,-2505,15469,0
0,143,548,1272,-278,-1766,-2985,15962,0
0,144,998,1214,276,-2426,-3149,16051,0
0,145,1438,822,1566,-2609,-2785,15969,0
0,146,602,-310,1048,-2450,-2049,15767,0
0,147,50,-1224,136,-2077,-1690,15585,0
0,148,-220,-1916,1140,-1944,-1865,15484,0
0,149,376,-2124,1324,-1713,-2119,15262,0
0,150,828,-2010,1244,-1126,-2025,15115,0
0,151,1380,-2102,1312,-719,-1648,14770,0
0,152,1552,-888,1762,-148,-852,14438,0
0,153,1404,-1258,586,189,51,14184,0
0,154,568,-322,1198,151,417,14116,0
0,155,1032,1434,1958,-23,460,14213,0
0,156,1132,1596,2442,-401,558,14285,0
0,157,492,1620,2362,-834,652,14503,0
0,158,108,1354,2282,-791,727,14623,0
0,159,-636,1792,2800,-684,670,14833,0
0,160,-728,844,2466,-472,321,15107,0
0,161,-582,960,1508,-291,-42,15433,0
0,162,106,1526,3158,-261,-503,15619,0
0,163,1224,2820,3792,-297,-551,15677,0
0,164,1586,3424,3690,-721,-85,15613,0
0,165,986,2532,2916,-1046,445,15577,0
0,166,500,1908,2396,-1249,688,15607,0
0,167,526,1272,3204,-1040,803,15480,0
0,168,-16,278,2696,-857,981,15417,0
0,169,-548,-68,3124,-587,1165,15401,0
0,170,-568,-10,3400,-195,963,15331,0
0,171,-492,556,2650,267,788,15493,0
0,172,176,2012,3158,373,750,15681,0
0,173,976,3178,3908,85,841,15752,0
0,174,1040,3546,4934,-623,1206,15965,0
0,175,254,3318,4172,-1367,1595,16028,0
0,176,-512,2752,4046,-1908,1726,16231,0
0,177,-986,1526,4496,-1999,1638,16345,0
0,178,-1980,1562,4438,-1716,1570,16471,0
0,179,-2272,1214,4610,-1346,1194,16759,0
0,180,-2304,1954,4564,-1157,586,17177,0
0,181,-1032,2774,5152,-1273,-151,17516,0
0,182,244,3698,4888,-1885,-743,17768,0
0,183,1278,2774,5418,-2706,-702,17649,0
0,184,1144,1920,5672,-2777,1103,17210,0
0,185,-692,2508,4714,-2033,2252,16912,0
0,186,-2822,1354,5198,-1965,2190,16784,0
0,187,-3558,1526,6122,-1940,1427,17095,0
0,188,-3964,2416,6306,-2316,-14,17304,0
0,189,-3446,2160,5706,-2441,-888,17309,0
0,190,-3014,3422,6226,-2439,-1210,17207,0
0,191,-2576,3548,5834,-2870,-940,17059,0
0,192,-2722,3514,5106,-3520,-659,17057,0
0,193,-2518,2810,5672,-4168,-795,17138,0
