id,cnt,gx,gy,gz,ax,ay,az,pls
0,0,-584,-266,-456,-137,395,16299,0
0,1,-630,-92,-1114,-188,315,16212,0
0,2,-176,522,-480,-528,269,16053,0
0,3,-458,164,224,-810,100,15868,0
0,4,-134,-300,-572,-1052,-69,15809,0
0,5,196,-760,-180,-961,89,15766,0
0,6,374,-508,96,-836,204,15849,0
0,7,-20,-324,-422,-613,415,15889,0
0,8,-280,-1178,-112,-593,502,15821,0
0,9,-348,-358,524,-721,481,15788,0
0,10,-506,-382,-330,-702,250,15944,0
0,11,-226,-1156,-676,-701,-6,16050,0
0,12,192,-1410,546,-580,-183,16203,0
0,13,160,-1432,304,-386,-179,16340,0
0,14,340,-1480,488,-212,-71,16427,0
0,15,712,-232,188,-212,59,16282,0
0,16,688,-612,558,-366,336,16100,0
0,17,1038,-648,-18,-462,687,15885,0
0,18,836,-116,478,-638,994,15782,0
0,19,238,-1480,-168,-754,1073,15780,0
0,20,-54,-1410,-792,-689,749,16068,0
0,21,396,-1086,-1230,-601,407,16280,0
0,22,430,-1792,-158,-512,160,16680,0
0,23,724,-1248,-1022,-331,-191,16849,0
0,24,892,-648,-1022,-99,-262,16917,0
0,25,1332,-728,-838,-7,-2,16824,0
0,26,916,-254,-1206,-286,302,16639,0
0,27,858,-600,-734,-529,179,16499,0
0,28,676,-70,-768,-777,82,16404,0
0,29,802,-612,-1784,-1060,108,16321,0
0,30,-56,-1848,-1690,-1539,333,16303,0
0,31,-302,-2254,-1748,-1456,-91,16597,0
0,32,-584,-2704,-1968,-794,-428,17169,0
0,33,-494,-3328,-3432,103,-689,17784,0
0,34,-978,-2126,-2914,1051,-1145,18307,0
0,35,-1396,-694,-2118,1437,-1752,18416,0
0,36,-1012,-566,-1644,1359,-2226,18117,0
0,37,-110,774,-1160,794,-2322,17367,0
0,38,454,658,-550,143,-1969,16488,0
0,39,1310,600,-1564,-374,-1563,15835,0
0,40,1412,-1398,-596,-676,-1126,15498,0
0,41,1558,-2646,282,-466,-1361,15521,0
0,42,2098,-2092,-376,446,-1533,15658,0
0,43,2348,-2380,-906,1304,-1383,15813,0
0,44,2696,-232,-308,1702,-1083,15762,0
0,45,2054,-232,-1068,1964,-665,15610,0
0,46,1310,658,-1310,1589,-235,15218,0
0,47,352,1456,-1518,1231,172,14981,0
0,48,-664,1074,-1484,935,95,14860,0
0,49,-1632,958,-2222,672,-440,15071,0
0,50,-1394,372,-2406,873,-1426,15171,0
0,51,-1350,-12,-1056,1056,-1765,15457,0
0,52,-820,404,-1138,1117,-1892,15530,0
0,53,-686,-254,-1460,1004,-1648,15313,0
0,54,-550,162,-400,853,-1213,15191,0
0,55,-1114,590,-630,788,-701,14986,0
0,56,-1970,208,-1276,602,-609,15005,0
0,57,-2276,-520,-468,568,-822,15118,0
0,58,-1858,0,-100,822,-1166,15359,0
0,59,-1474,-312,662,1068,-1407,15402,0
0,60,-820,-600,384,1248,-1271,15280,0
0,61,-32,566,1572,1304,-743,14985,0
0,62,-324,382,776,1337,-33,14690,0
0,63,-832,-82,328,1077,610,14391,0
0,64,-1996,646,-18,707,868,14401,0
0,65,-1894,286,996,576,480,14474,0
0,66,-2184,150,800,545,54,14507,0
0,67,-2174,162,1134,221,-220,14806,0
0,68,-2060,-232,1630,-167,-90,14863,0
0,69,-2118,-186,1204,-255,-60,15079,0
0,70,-1982,-1328,1458,-198,-187,15353,0
0,71,-1340,-358,1376,187,-675,15846,0
0,72,-720,-1548,1250,490,-744,16002,0
0,73,-144,-982,1676,491,-407,15972,0
0,74,-652,-150,2276,440,-8,16054,0
0,75,-888,46,3430,296,160,16158,0
0,76,-730,428,2668,292,-196,16130,0
0,77,-586,474,3198,306,-349,16264,0
0,78,-358,1270,3094,350,-356,16347,0
0,79,-156,1722,3636,109,-249,16349,0
0,80,-314,844,3694,-168,-20,16180,0
0,81,-314,832,3672,-501,-65,16114,0
0,82,316,-314,3890,-463,-294,16362,0
0,83,608,58,3614,-98,-480,16530,0
0,84,330,-658,3902,-141,-214,16848,0
0,85,-66,70,4640,-305,-214,17056,0
0,86,-156,288,4570,-257,-353,17171,0
0,87,-618,-290,4386,-497,-569,17277,0
0,88,-550,-404,4698,-582,-802,17334,0
0,89,-156,-1768,5448,-285,-1089,17568,0
0,90,104,-1376,4616,131,-1322,17713,0
0,91,216,-1236,5136,621,-1398,17821,0
0,92,710,-578,6624,757,-1410,17783,0
0,93,904,300,6542,855,-1188,17428,0
0,94,880,358,5816,497,-749,16962,0
0,95,-100,-82,6508,-294,-311,16775,0
0,96,-1092,-1422,5828,-889,-696,17002,0
0,97,-550,-2680,5124,-332,-1724,17305,0
0,98,92,-2056,5608,215,-2537,17768,0
0,99,578,-2728,6024,624,-2991,17983,0
0,100,1412,-1976,6404,1234,-3186,17974,0
